"SourceTerm","TargetTerm"
"Nexivarin 10 mg Tablets","Nexivarin 10 mg Tabletten"
"Nexivarin Hydrochloride","Nexivarinhydrochlorid"
"Dihydropyridine calcium channel blockers","Dihydropyridin-Calciumkanalblocker"
"Hypertension","Hypertonie"
"stable angina pectoris","stabile Angina pectoris"
"dosage regimen","Dosierungsschema"
"10 mg once daily","10 mg einmal täglich"
"administered oral","oral verabreicht"
"drug product","Arzneimittel"
"immediate-release film-coated tablet","Schnellfreisetzende filmbeschichtete Tablette"
"active pharmaceutical ingredient (API)","Wirkstoff (API)"
"API","API"
"electronic Common Technical Document (eCTD)","elektronisches Common Technical Document (eCTD)"
"eCTD","eCTD"
"Food and Drug Administration","Foof and Drug Administration"
"Center for Drug Evaluation and Research","Center for Drug Evaluation and Research"
"Division of Cardiovascular and Renal Products","Division of Cardiovascular and Renal Products"
"Office of Drug Evaluation I","Office of Drug Evaluation I"
"Certain Human Pharmaceutical Product Applications and Related Submissions Using the eCTD Specifications","Certain Human Pharmaceutical Product Applications and Related Submissions Using the eCTD Specifications"
