"auto_seq_no","timestamp","source_document","keyword_anchor","context_snippet","mapped_target_file","mapped_target_page","resolution_type"
"1","2026-05-27 13:05:38","2.2-introduction.pdf","Section 2.2","...der=""CTD Introduction"" -->  PharmaCorp Inc. NDA 123456  Nexivarin 10 mg Tablets Section 2.2  CTD Introduction   <table> <tr> <td>Submission Type</td> <td>NDA-505(b)(1)</td...","2.2-introduction.pdf","1","Base Module Match"
"1","2026-05-28 12:09:36","1.2-form1571.pdf","Section 1.2","...TD Submission"" -->   # PharmaCorp Inc. NDA 123456  Nexivarin 10 mg Tablets   ## Section 1.2 FDA Form 1571 / Application Form   <table> <tr> <td>Submission Type</td> <td>ND...","1.2-form1571.pdf","1","Base Module Match"
"2","2026-05-28 12:09:37","1.2-form1571.pdf","Section 1.3.1","...hell@pharmacorp.com</td> </tr> <tr> <td>Proposed Labeling</td> <td>Submitted in Section 1.3.1</td> </tr> <tr> <td>Environmental Assessment</td> <td>Claim for Categorical Exc...","1.3.1-labeling.pdf","1","Base Module Match"
"3","2026-05-28 12:09:49","1.3.1-labeling.pdf","Section 1.3.1","...- eCTD Submission"" -->   # PharmaCorp Inc. NDA 123456  Nexivarin 10 mg Tablets Section 1.3.1 Proposed Labeling (Draft Package Insert)   <table> <tr> <td>Submission Type</td...","1.3.1-labeling.pdf","1","Base Module Match"
"4","2026-05-28 12:10:04","1.3.2-patents.pdf","Section 1.3.2","...ifications"" -->   # PharmaCorp Inc. NDA 123456   # Nexivarin 10 mg Tablets   ## Section 1.3.2 Patent Certifications and Exclusivity   <table> <tr> <td>Submission Type</td> <...","1.3.2-patents.pdf","1","Base Module Match"
"5","2026-05-28 12:10:14","1.7-env-assessment.pdf","Section 1.7","...- eCTD Submission"" -->  PharmaCorp Inc. NDA 123456  Nexivarin 10 mg Tablets   # Section 1.7 Environmental Assessment / Exclusion Claim   <table> <tr> <td>Submission Type</...","1.7-env-assessment.pdf","1","Base Module Match"
"6","2026-05-28 12:10:33","cover-letter.pdf","Section 1.0","...der=""Cover Letter"" -->  PharmaCorp Inc. NDA 123456  Nexivarin 10 mg Tablets   # Section 1.0 Cover Letter   <table> <tr> <td>Submission Type</td> <td>NDA-505(b)(1)</td> </t...","cover-letter.pdf","1","Section 1.0 Cover Letter"
"7","2026-05-28 12:10:43","2.2-introduction.pdf","Section 2.2","...der=""CTD Introduction"" -->  PharmaCorp Inc. NDA 123456  Nexivarin 10 mg Tablets Section 2.2  CTD Introduction   <table> <tr> <td>Submission Type</td> <td>NDA-505(b)(1)</td...","2.2-introduction.pdf","1","Base Module Match"
"8","2026-05-28 12:10:45","2.2-introduction.pdf","Section 3.2.S.1","...neral information, nomenclature, and physicochemical properties are provided in Section 3.2.S.1 of Module 3.  Refer to Section 3.2.S.1 (Module 3) for the complete nomenclature...","3.2.S.1-general-info.pdf","1","Base Module Match"
"9","2026-05-28 12:10:46","2.2-introduction.pdf","Sections 4.2.1","...logy and toxicology studies referenced herein are reported in full in Module 4 (Sections 4.2.1-4.2.3). Clinical study reports supporting efficacy and safety are provided in M...","4.2.1.1-primary-pd.pdf","1","Child Module Match"
"10","2026-05-28 12:13:05","2.2-introduction.pdf","Section 4.2.1.1","...proof-of-concept</td> <td>Antihypertensive activity confirmed in SHR model (see Section 4.2.1.1)</td> </tr> <tr> <td>2014</td> <td>IND Filing (IND 67890)</td> <td>Phase I auth...","4.2.1.1-primary-pd.pdf","1","Base Module Match"
